阶段,工作包,开始日期,结束日期,负责人,交付物,验收标准,优先级,备注
第1周,冻结MVP范围和验收口径,2026-05-25,2026-05-26,BA/产品,MVP范围说明和验收清单,"明确只做CSV+语义配置闭环；固定4个页面节点和3个Agent；明确不做权限、数仓、PPT/PDF/Word真实导出",P0,AI coding可辅助整理PRD和验收清单
第1周,梳理3个首批真实业务案例,2026-05-25,2026-05-27,BA/产品,3个案例问题包,"包含客流下降、订单/转化下降、渠道或经销商异常；每个案例有业务问题、时间范围、对比口径、期望输出",P0,案例质量决定后续Agent输出质量
第1周,确认CSV字段和指标边界,2026-05-26,2026-05-28,BA/产品+开发,字段字典和指标清单,"明确可用字段、可算指标、缺失字段、暂不支持的数据；页面能展示数据可用性",P0,不追求生产级数据治理
第1周,任务管理页产品化调整,2026-05-27,2026-05-29,开发+AI coding,任务管理页,"支持搜索、状态筛选、打开、复制、删除；每条任务突出任务名、状态、当前节点、业务问题摘要和4步进度",P0,当前原型基础上打磨
第1周,创建分析任务页闭环,2026-05-27,2026-05-30,开发+AI coding,创建任务页面,"支持业务问题、任务名称、分析目标、数据源、时间范围、对比基期、维度多选；保存草稿不启动Agent；确认后启动分析思路Agent",P0,创建任务是分析思路Agent输入页
第1周,任务本地持久化和状态恢复,2026-05-28,2026-05-31,开发+AI coding,任务状态持久化,"任务输入、当前节点、BA确认、手工编辑内容能写入本地JSON；服务重启后可恢复",P0,先用JSON满足MVP
第2周,分析思路拓展页重构,2026-06-01,2026-06-03,开发+AI coding,分析思路拓展页面,"展示AI对问题的理解、分析目标、归因路径、归因框架、数据可用性；内容随业务问题变化",P0,避免固定模板感
第2周,动态分析假设生成和维护,2026-06-02,2026-06-04,开发+AI coding,假设生成与编辑能力,"不同问题生成不同假设；BA可新增、编辑、删除、调整状态；保存后后续模块使用BA版本",P0,必须打通数据分析假设验证
第2周,成熟分析框架页产品化,2026-06-03,2026-06-05,开发+AI coding,成熟分析框架页面,"支持选择框架、查看绑定维度、指标模板、数据要求；框架不固化为单一场景",P1,可作为能力沉淀入口
第2周,能力目录可维护,2026-06-04,2026-06-06,开发+AI coding,能力目录页面,"问题类型、分析方法、Playbook、指标模板可新增、编辑、删除、保存、重载",P1,本地维护即可
第2周,Ontology语义维护可维护,2026-06-04,2026-06-07,开发+AI coding,Ontology语义维护页面,"业务对象、业务事件、对象关系、指标口径可新增、编辑、删除、保存、重载",P1,不接外部语义服务
第2周,分析思路节点验收,2026-06-07,2026-06-07,BA/产品+开发,分析思路验收记录,"用3个业务案例验证分析思路和假设是否明显不同且像BA工作方式",P0,第2周必须收口
第3周,CSV数据资产预览和字段识别,2026-06-08,2026-06-10,开发+AI coding,数据资产预览能力,"展示CSV样本规模、字段、关键字段填充率、敏感字段提示、字段可用性",P0,基于当前Sales宽表Demo
第3周,指标概览页优化,2026-06-09,2026-06-11,开发+AI coding,指标概览Tab,"按渠道、客户、时间、品牌、漏斗分组展示指标卡片；默认进入指标概览；下降/上升/稳定有视觉区分",P0,业务用户第一眼看这个页
第3周,风险识别点生成,2026-06-10,2026-06-12,开发+AI coding,风险识别面板,"风险点必须有本期值、对比值、变化率和影响等级；不再展示空泛关注点",P0,替代BA当前关注点
第3周,维度指标表,2026-06-11,2026-06-12,开发+AI coding,维度指标表Tab,"展示完整指标、维度、本期值、对比值、变化率、趋势；支持BA复核",P1,先不做复杂筛选
第3周,假设验证Tab,2026-06-11,2026-06-13,开发+AI coding,假设验证Tab,"每条假设绑定证据指标；状态为已验证、待验证、已否定；内容跟随分析主题和BA修改变化",P0,与第2周假设逻辑打通
第3周,计算逻辑SQL Tab,2026-06-12,2026-06-13,开发+AI coding,SQL复核Tab,"SQL逻辑默认非主视图；支持折叠查看和复制；用于BA或数据同事复核口径",P1,SQL为草稿和口径说明
第3周,数据分析节点验收,2026-06-14,2026-06-14,BA/产品+开发,数据洞察验收记录,"3个案例能生成指标、风险点、维度表、假设验证和SQL逻辑；风险点有数据证据",P0,第3周必须形成可信数据页
第4周,报告生成页重构,2026-06-15,2026-06-17,开发+AI coding,报告生成页面,"包含执行摘要、回顾背景、数据概览、关键发现、原因分析、建议与结论；支持编辑",P0,面向业务阅读
第4周,报告保存和恢复,2026-06-16,2026-06-18,开发+AI coding,报告编辑持久化,"报告内容可保存；重新打开任务后可恢复编辑内容",P0,确保BA可持续修改
第4周,HTML报告真实导出,2026-06-17,2026-06-19,开发+AI coding,HTML导出能力,"HTML报告可导出并通过链接访问；PPT/PDF/Word入口显示后续支持",P0,MVP只真实支持HTML
第4周,3个案例端到端打磨,2026-06-18,2026-06-21,BA/产品+开发,3个端到端案例,"客流下降、订单/转化下降、渠道或经销商异常均可从创建任务跑到报告导出",P0,用于演示和验收
第4周,关键问题修复,2026-06-19,2026-06-22,开发+AI coding,修复清单,"修复阻塞流程、明显错数、页面无法理解、状态无法恢复等P0/P1问题",P0,只修关键问题
第4周,操作手册和演示材料,2026-06-20,2026-06-23,BA/产品+AI coding,操作手册和Demo说明,"非开发人员能按文档启动服务、打开页面、跑通Demo；说明已知限制",P1,用于内部沟通
第4周,MVP封版验收,2026-06-24,2026-06-24,BA/产品,MVP验收记录,"完成MVP验收测试：任务、分析思路、数据洞察、报告、配置维护、重启恢复均通过",P0,可进入小范围试用
缓冲,体验和数据口径缓冲,2026-06-25,2026-06-26,BA/产品+开发,缓冲修复包,"处理验收中发现的少量体验和口径问题；不新增大功能",P1,保留2天弹性
